row_key,question_id,retrieval_method,evaluator,retrieval_relevance_1_5,answer_correctness_1_5,source_support_1_5,clarity_1_5,notes
7::rrf-icebert-bm25,7,rrf-icebert-bm25,Jóhannes,4,5,5,4,
7::rrf-bge-m3-bm25,7,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
7::rrf-bge-m3-bm25-rerank,7,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,5,
8::tfidf,8,tfidf,Jóhannes,1,4,4,5,
8::bm25,8,bm25,Jóhannes,1,4,4,5,
8::rrf-icebert-bm25,8,rrf-icebert-bm25,Jóhannes,2,4,4,4,
8::rrf-bge-m3-bm25,8,rrf-bge-m3-bm25,Jóhannes,1,4,4,4,
8::rrf-bge-m3-bm25-rerank,8,rrf-bge-m3-bm25-rerank,Jóhannes,1,4,4,4,
9::tfidf,9,tfidf,Jóhannes,5,5,5,5,
9::bm25,9,bm25,Jóhannes,5,5,5,4,
9::rrf-icebert-bm25,9,rrf-icebert-bm25,Jóhannes,5,5,5,4,
9::rrf-bge-m3-bm25,9,rrf-bge-m3-bm25,Jóhannes,5,5,5,5,
9::rrf-bge-m3-bm25-rerank,9,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,5,
10::tfidf,10,tfidf,Jóhannes,2,5,5,4,
10::bm25,10,bm25,Jóhannes,1,5,5,4,
10::rrf-icebert-bm25,10,rrf-icebert-bm25,Jóhannes,4,5,5,4,
10::rrf-bge-m3-bm25,10,rrf-bge-m3-bm25,Jóhannes,4,4,5,4,
10::rrf-bge-m3-bm25-rerank,10,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,5,
11::tfidf,11,tfidf,Jóhannes,2,4,4,4,
11::bm25,11,bm25,Jóhannes,3,4,5,4,
11::rrf-icebert-bm25,11,rrf-icebert-bm25,Jóhannes,2,4,5,5,
11::rrf-bge-m3-bm25,11,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
11::rrf-bge-m3-bm25-rerank,11,rrf-bge-m3-bm25-rerank,Jóhannes,4,5,5,5,
12::tfidf,12,tfidf,Jóhannes,1,5,5,5,
12::bm25,12,bm25,Jóhannes,1,5,5,5,
12::rrf-icebert-bm25,12,rrf-icebert-bm25,Jóhannes,1,5,5,5,
12::rrf-bge-m3-bm25,12,rrf-bge-m3-bm25,Jóhannes,4,5,5,5,
12::rrf-bge-m3-bm25-rerank,12,rrf-bge-m3-bm25-rerank,Jóhannes,4,5,5,5,
13::tfidf,13,tfidf,Jóhannes,5,5,5,5,
13::bm25,13,bm25,Jóhannes,4,5,5,4,
13::rrf-icebert-bm25,13,rrf-icebert-bm25,Jóhannes,2,4,4,5,
13::rrf-bge-m3-bm25,13,rrf-bge-m3-bm25,Jóhannes,5,5,5,5,
13::rrf-bge-m3-bm25-rerank,13,rrf-bge-m3-bm25-rerank,Jóhannes,5,4,5,4,
14::tfidf,14,tfidf,Jóhannes,1,5,5,5,
14::bm25,14,bm25,Jóhannes,2,5,4,5,
14::rrf-icebert-bm25,14,rrf-icebert-bm25,Jóhannes,2,5,4,5,
14::rrf-bge-m3-bm25,14,rrf-bge-m3-bm25,Jóhannes,2,5,4,5,
14::rrf-bge-m3-bm25-rerank,14,rrf-bge-m3-bm25-rerank,Jóhannes,2,5,4,5,
15::tfidf,15,tfidf,Jóhannes,2,3,4,4,
15::bm25,15,bm25,Jóhannes,2,3,4,4,
15::rrf-icebert-bm25,15,rrf-icebert-bm25,Jóhannes,2,3,5,4,
15::rrf-bge-m3-bm25,15,rrf-bge-m3-bm25,Jóhannes,2,3,5,4,
15::rrf-bge-m3-bm25-rerank,15,rrf-bge-m3-bm25-rerank,Jóhannes,5,5,5,5,
16::tfidf,16,tfidf,Jóhannes,1,5,5,5,
16::bm25,16,bm25,Jóhannes,1,5,5,5,
16::rrf-icebert-bm25,16,rrf-icebert-bm25,Jóhannes,2,5,5,5,
16::rrf-bge-m3-bm25,16,rrf-bge-m3-bm25,Jóhannes,3,5,5,4,
16::rrf-bge-m3-bm25-rerank,16,rrf-bge-m3-bm25-rerank,Jóhannes,1,5,5,5,
17::tfidf,17,tfidf,Jóhannes,4,4,5,4,
17::bm25,17,bm25,Jóhannes,4,5,5,3,
17::rrf-icebert-bm25,17,rrf-icebert-bm25,Jóhannes,2,5,5,5,
17::rrf-bge-m3-bm25,17,rrf-bge-m3-bm25,Jóhannes,4,5,5,4,
17::rrf-bge-m3-bm25-rerank,17,rrf-bge-m3-bm25-rerank,Jóhannes,2,4,5,3,
18::tfidf,18,tfidf,Jóhannes,1,5,5,5,
18::bm25,18,bm25,Jóhannes,2,5,5,5,
18::rrf-icebert-bm25,18,rrf-icebert-bm25,Jóhannes,2,3,5,4,
18::rrf-bge-m3-bm25,18,rrf-bge-m3-bm25,Jóhannes,3,3,5,5,
18::rrf-bge-m3-bm25-rerank,18,rrf-bge-m3-bm25-rerank,Jóhannes,4,2,5,5,
19::tfidf,19,tfidf,Jóhannes,3,4,5,4,
19::bm25,19,bm25,Jóhannes,3,4,5,4,
19::rrf-icebert-bm25,19,rrf-icebert-bm25,Jóhannes,3,5,4,4,
19::rrf-bge-m3-bm25,19,rrf-bge-m3-bm25,Jóhannes,4,5,5,5,
19::rrf-bge-m3-bm25-rerank,19,rrf-bge-m3-bm25-rerank,Jóhannes,3,5,5,4,
20::tfidf,20,tfidf,Jóhannes,3,5,5,5,
20::bm25,20,bm25,Jóhannes,3,5,5,5,
20::rrf-icebert-bm25,20,rrf-icebert-bm25,Jóhannes,3,5,5,5,
20::rrf-bge-m3-bm25,20,rrf-bge-m3-bm25,Jóhannes,3,5,5,5,
20::rrf-bge-m3-bm25-rerank,20,rrf-bge-m3-bm25-rerank,Jóhannes,3,5,5,5,
