row_key,question_id,retrieval_method,evaluator,retrieval_relevance_1_5,answer_correctness_1_5,source_support_1_5,clarity_1_5,notes
8::rrf-bge-m3-bm25,8,rrf-bge-m3-bm25,Sölvi,2,3,3,4,
8::rrf-bge-m3-bm25-rerank,8,rrf-bge-m3-bm25-rerank,Sölvi,2,2,5,4,
9::tfidf,9,tfidf,Sölvi,5,4,3,4,
9::bm25,9,bm25,Sölvi,5,4,3,4,
9::rrf-icebert-bm25,9,rrf-icebert-bm25,Sölvi,5,4,3,4,
9::rrf-bge-m3-bm25,9,rrf-bge-m3-bm25,Sölvi,5,4,3,4,
9::rrf-bge-m3-bm25-rerank,9,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
10::tfidf,10,tfidf,Sölvi,2,2,3,4,
10::bm25,10,bm25,Sölvi,2,2,3,4,
10::rrf-icebert-bm25,10,rrf-icebert-bm25,Sölvi,4,4,3,4,
10::rrf-bge-m3-bm25,10,rrf-bge-m3-bm25,Sölvi,4,4,3,4,
10::rrf-bge-m3-bm25-rerank,10,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
11::tfidf,11,tfidf,Sölvi,2,2,5,4,
11::bm25,11,bm25,Sölvi,4,4,3,4,
11::rrf-icebert-bm25,11,rrf-icebert-bm25,Sölvi,2,2,3,4,
11::rrf-bge-m3-bm25,11,rrf-bge-m3-bm25,Sölvi,5,4,3,4,
11::rrf-bge-m3-bm25-rerank,11,rrf-bge-m3-bm25-rerank,Sölvi,4,4,3,4,
12::tfidf,12,tfidf,Sölvi,2,2,5,4,
12::bm25,12,bm25,Sölvi,2,2,5,4,
12::rrf-icebert-bm25,12,rrf-icebert-bm25,Sölvi,2,2,5,4,
12::rrf-bge-m3-bm25,12,rrf-bge-m3-bm25,Sölvi,4,4,3,4,
12::rrf-bge-m3-bm25-rerank,12,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
13::tfidf,13,tfidf,Sölvi,5,5,5,4,
13::bm25,13,bm25,Sölvi,5,4,3,4,
13::rrf-icebert-bm25,13,rrf-icebert-bm25,Sölvi,2,2,3,4,
13::rrf-bge-m3-bm25,13,rrf-bge-m3-bm25,Sölvi,5,5,5,4,
13::rrf-bge-m3-bm25-rerank,13,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
14::tfidf,14,tfidf,Sölvi,2,2,5,4,
14::bm25,14,bm25,Sölvi,2,2,5,4,
14::rrf-icebert-bm25,14,rrf-icebert-bm25,Sölvi,2,2,5,4,
14::rrf-bge-m3-bm25,14,rrf-bge-m3-bm25,Sölvi,2,2,3,4,
14::rrf-bge-m3-bm25-rerank,14,rrf-bge-m3-bm25-rerank,Sölvi,2,2,5,4,
15::tfidf,15,tfidf,Sölvi,2,2,3,4,
15::bm25,15,bm25,Sölvi,2,3,3,4,
15::rrf-icebert-bm25,15,rrf-icebert-bm25,Sölvi,2,2,3,4,
15::rrf-bge-m3-bm25,15,rrf-bge-m3-bm25,Sölvi,2,2,3,4,
15::rrf-bge-m3-bm25-rerank,15,rrf-bge-m3-bm25-rerank,Sölvi,5,2,3,4,
16::tfidf,16,tfidf,Sölvi,2,2,5,4,
16::bm25,16,bm25,Sölvi,2,2,5,4,
16::rrf-icebert-bm25,16,rrf-icebert-bm25,Sölvi,2,2,3,4,
16::rrf-bge-m3-bm25,16,rrf-bge-m3-bm25,Sölvi,2,2,3,4,
16::rrf-bge-m3-bm25-rerank,16,rrf-bge-m3-bm25-rerank,Sölvi,2,2,3,4,
17::tfidf,17,tfidf,Sölvi,4,4,5,4,
17::bm25,17,bm25,Sölvi,4,4,3,4,
17::rrf-icebert-bm25,17,rrf-icebert-bm25,Sölvi,3,3,5,4,
17::rrf-bge-m3-bm25,17,rrf-bge-m3-bm25,Sölvi,5,4,3,4,
17::rrf-bge-m3-bm25-rerank,17,rrf-bge-m3-bm25-rerank,Sölvi,3,3,5,4,
18::tfidf,18,tfidf,Sölvi,3,3,3,4,
18::bm25,18,bm25,Sölvi,3,3,3,4,
18::rrf-icebert-bm25,18,rrf-icebert-bm25,Sölvi,3,3,5,4,
18::rrf-bge-m3-bm25,18,rrf-bge-m3-bm25,Sölvi,5,2,3,4,
18::rrf-bge-m3-bm25-rerank,18,rrf-bge-m3-bm25-rerank,Sölvi,5,4,3,4,
19::tfidf,19,tfidf,Sölvi,1,2,2,3,
19::bm25,19,bm25,Sölvi,1,2,2,3,
19::rrf-icebert-bm25,19,rrf-icebert-bm25,Sölvi,1,2,2,3,
19::rrf-bge-m3-bm25,19,rrf-bge-m3-bm25,Sölvi,1,2,2,3,
19::rrf-bge-m3-bm25-rerank,19,rrf-bge-m3-bm25-rerank,Sölvi,2,5,4,4,
20::tfidf,20,tfidf,Sölvi,1,2,2,3,
20::bm25,20,bm25,Sölvi,1,2,2,3,
20::rrf-icebert-bm25,20,rrf-icebert-bm25,Sölvi,1,2,2,3,
20::rrf-bge-m3-bm25,20,rrf-bge-m3-bm25,Sölvi,1,2,2,3,
20::rrf-bge-m3-bm25-rerank,20,rrf-bge-m3-bm25-rerank,Sölvi,1,2,2,3,
